project,classifier,threshold,AUC,MCC
presto,RandomForest,0.7-0.7-0.7,0.94,-0.03
iceberg,XGB,0.5-0.5-0.5,0.85,0.63
iceberg,XGB,0.6-0.6-0.6,0.95,0.66
dynamorio,XGB,0.4-0.4-0.4,0.67,0.31
phpredis,CatBoost,0.5-0.5-0.5,0.49,-0.08
redis,RandomForest,0.3-0.3-0.3,0.6,0.21
nodemcu-firmware,XGB,0.6-0.6-0.6,0.81,0.45
betaflight,RandomForest,0.7-0.7-0.7,0.98,-0.01
open5gs,XGB,0.5-0.5-0.5,0.8,0.43
janusgraph,CatBoost,0.5-0.5-0.5,0.61,0.14
flatpak,RandomForest,0.3-0.3-0.3,0.67,0.2
redis,XGB,0.3-0.3-0.3,0.66,0.31
mpv,RandomForest,0.3-0.3-0.3,0.68,0.32
druid,RandomForest,0.6-0.6-0.6,0.9,0.01
graylog2-server,RandomForest,0.6-0.6-0.6,0.89,0.48
graylog2-server,XGB,0.7-0.7-0.7,0.86,0.32
iceberg,RandomForest,0.4-0.4-0.4,0.82,0.6
hashcat,XGB,0.3-0.3-0.3,0.71,0.35
zfs,XGB,0.3-0.3-0.3,0.69,0.39
gatk,XGB,0.5-0.5-0.5,0.78,0.3
Mekanism,RandomForest,0.4-0.4-0.4,0.56,0.12
klipper,RandomForest,0.5-0.5-0.5,0.8,0.56
radare2,RandomForest,0.5-0.5-0.5,0.79,0.14
FreeRDP,XGB,0.4-0.4-0.4,0.56,0.11
grpc-java,RandomForest,0.7-0.7-0.7,0.96,0.52
radare2,XGB,0.4-0.4-0.4,0.64,0.18
light-4j,XGB,0.7-0.7-0.7,0.95,-0.03
collectd,XGB,0.3-0.3-0.3,0.55,0.1
XChange,XGB,0.7-0.7-0.7,0.85,0.16
nodemcu-firmware,RandomForest,0.5-0.5-0.5,0.72,0.42
shenyu,RandomForest,0.6-0.6-0.6,0.88,0.3
shardingsphere-elasticjob,XGB,0.5-0.5-0.5,0.75,0.47
maxwell,CatBoost,0.5-0.5-0.5,0.6,0.41
shenyu,RandomForest,0.5-0.5-0.5,0.8,0.43
libevent,RandomForest,0.4-0.4-0.4,0.5,0.01
WinObjC,XGB,0.3-0.3-0.3,0.9,0.76
graylog2-server,RandomForest,0.7-0.7-0.7,0.8,-0.11
jabref,RandomForest,0.7-0.7-0.7,0.84,0.38
iceberg,XGB,0.3-0.3-0.3,0.79,0.57
flatpak,XGB,0.3-0.3-0.3,0.63,0.17
realm-java,RandomForest,0.6-0.6-0.6,0.73,0.22
grpc-java,XGB,0.6-0.6-0.6,0.94,0.6
lvgl,XGB,0.4-0.4-0.4,0.5,-0.01
realm-java,RandomForest,0.4-0.4-0.4,0.62,0.22
inav,XGB,0.6-0.6-0.6,0.97,0.89
Terasology,RandomForest,0.5-0.5-0.5,0.59,0.12
mpv,XGB,0.6-0.6-0.6,0.78,0.35
swagger-core,CatBoost,0.5-0.5-0.5,0.61,0.08
SoftEtherVPN,XGB,0.7-0.7-0.7,0.76,-0.04
janusgraph,RandomForest,0.6-0.6-0.6,0.7,0.08
